month,position,artist,song,score,us,uk,de,fr,ca,au
"May 2000","5","Faith Hill","Breathe","3517.001","2","33","-","-","-","48"
"May 2000","6","Britney Spears","Oops!... I Did It Again","3065.158","13","1","-","4","1","2"
"May 2000","7","Macy Gray","I Try","2905.659","5","-","-","31","-","-"
"May 2000","8","N Sync","Bye, Bye, Bye","2800.676","6","92","-","-","-","3"
"May 2000","9","Lonestar","Amazed","2743.016","8","26","-","-","-","25"
"May 2000","10","Sonique","It Feels So Good","2611.280","10","1","-","-","1","-"
"May 2000","11","Vertical Horizon","Everything You Want","2585.933","6","-","-","-","-","-"
"May 2000","12","Rob Thomas & Santana","Smooth","2508.649","12","30","-","18","-","-"
"May 2000","13","Enrique Iglesias","Be With You","2478.256","8","-","-","66","-","36"
"May 2000","14","Marc Anthony","You Sang To Me","2367.312","5","-","-","-","-","-"
"May 2000","15","Joe Thomas","I Wanna Know","2313.562","11","-","-","-","-","-"
"May 2000","16","Aaliyah","Try Again","2290.214","9","-","-","-","-","-"
"May 2000","17","Pink","There You Go","2228.474","14","-","-","-","-","6"
"May 2000","18","Montell Jordan","Get It On Tonite","2012.971","15","-","-","28","-","-"
"May 2000","19","Creed","Higher","1957.435","16","-","-","-","-","-"
"May 2000","20","The Backstreet Boys","Show Me The Meaning Of Being Lonely","1895.008","19","64","-","-","-","41"
"May 2000","21","Red Hot Chili Peppers","Otherside","1869.314","14","-","-","-","-","-"
"May 2000","22","Christina Aguilera","I Turn To You","1841.407","19","-","-","-","-","40"
"May 2000","23","Third Eye Blind","Never Let You Go","1827.576","18","-","-","-","-","-"
"May 2000","24","Carl Thomas","I Wish","1820.329","20","-","-","-","-","-"
"May 2000","25","504 Boyz","Wobble Wobble","1798.554","17","-","-","-","-","-"
"May 2000","26","Savage Garden","Crash & Burn","1755.270","24","57","-","-","-","16"
"May 2000","27","Bloodhound Gang","The Bad Touch","1731.771","72","4","-","56","-","-"
"May 2000","28","Kid Rock","Only God Knows Why","1721.214","21","-","-","-","-","-"
"May 2000","29","DMX","Party Up (Up In Here)","1695.235","27","-","-","-","-","-"
"May 2000","30","Mary Mary","Shackles (Praise You)","1647.545","28","-","-","-","-","-"
"May 2000","31","Matchbox Twenty","Bent","1631.710","22","-","-","-","-","19"
"May 2000","32","Avant","Separated","1592.975","23","-","-","-","-","-"
"May 2000","33","Savage Garden","I Knew I Loved You","1551.547","24","-","-","-","-","-"
"May 2000","34","Jay-Z & UGK","Big Pimpin'","1540.549","25","-","-","-","-","-"
"May 2000","35","Marc Anthony","I Need To Know","1479.261","31","-","-","-","-","-"
"May 2000","36","The Dixie Chicks","Goodbye Earl","1478.080","19","-","-","-","-","-"
"May 2000","37","Alice DeeJay","Better Off Alone","1466.772","29","-","-","-","-","-"
"May 2000","38","Faith Hill","The Way You Love Me","1446.022","35","-","-","-","-","-"
"May 2000","39","George Strait","The Best Day","1435.777","33","-","-","-","-","-"
"May 2000","40","Hanson","This Time Around","1399.084","20","-","-","-","-","-"
"May 2000","41","Toby Keith","How Do You Like Me Now?!","1394.021","35","-","-","-","-","-"
"May 2000","42","The Goo Goo Dolls","Broadway","1384.190","31","-","-","-","-","-"
"May 2000","43","Kenny Rogers & Alison Krauss","Buy Me A Rose","1364.577","40","-","-","-","-","-"
"May 2000","44","Eminem","The Real Slim Shady","1355.237","16","-","-","-","-","-"
"May 2000","45","Westlife","Swear It Again","1349.547","37","-","-","-","-","-"
"May 2000","46","Vitamin C","Graduation (Friends Forever)","1325.834","40","-","-","-","-","-"
"May 2000","47","Chad Brock","Yes!","1320.470","33","-","-","-","-","-"
"May 2000","48","Andy Griggs","She s More","1301.274","43","-","-","-","-","-"
"May 2000","49","Celine Dion","That's The Way It Is","1298.501","26","-","-","-","-","-"
"May 2000","50","Dr Dre, Eminem & Skylar Grey","Forgot About Dre","1266.175","34","-","-","-","-","-"
"Jun 2000","1","Britney Spears","Oops!... I Did It Again","3677.832","9","6","-","5","1","1"
"Jun 2000","2","Sisqo","Thong Song","3490.719","3","16","-","18","-","2"
"Jun 2000","3","Santana & The Product G","Maria Maria","3344.626","1","-","-","29","-","-"
"Jun 2000","4","Enrique Iglesias","Be With You","3188.226","1","-","-","43","-","-"
"Jun 2000","5","Aaliyah","Try Again","3130.505","1","-","-","-","-","-"
"Jun 2000","6","Faith Hill","Breathe","3127.538","2","-","-","-","-","28"
"Jun 2000","7","Marc Anthony","You Sang To Me","3096.455","2","-","-","-","-","-"
"Jun 2000","8","Toni Braxton","He Wasn't Man Enough","2924.383","4","21","-","67","-","5"
"Jun 2000","9","Vertical Horizon","Everything You Want","2802.072","3","-","-","-","-","-"
"Jun 2000","10","Pink","There You Go","2633.707","12","6","-","-","-","2"
"Jun 2000","11","Eminem","The Real Slim Shady","2589.939","4","-","-","-","-","-"
"Jun 2000","12","Destiny's Child","Say My Name","2529.257","10","41","-","10","-","1"
"Jun 2000","13","Sonique","It Feels So Good","2472.579","17","1","-","-","-","-"
"Jun 2000","14","Joe Thomas","I Wanna Know","2403.853","6","-","-","-","-","-"
"Jun 2000","15","Macy Gray","I Try","2403.340","6","-","-","51","-","-"
"Jun 2000","16","Lonestar","Amazed","2219.307","15","21","-","-","-","22"
"Jun 2000","17","Creed","Higher","2132.927","11","-","-","-","-","-"
"Jun 2000","18","Matchbox Twenty","Bent","2018.435","13","-","-","-","-","19"
"Jun 2000","19","Mary Mary","Shackles (Praise You)","2011.534","30","5","-","22","-","-"
"Jun 2000","20","Christina Aguilera","I Turn To You","1990.134","17","-","-","-","-","49"
"Jun 2000","21","N Sync","It's Gonna Be Me","1968.033","9","-","-","-","-","15"
"Jun 2000","22","N Sync","Bye, Bye, Bye","1946.475","12","92","-","46","-","10"
"Jun 2000","23","Red Hot Chili Peppers","Otherside","1935.759","14","-","-","-","-","-"
"Jun 2000","24","Jay-Z & UGK","Big Pimpin'","1917.223","19","29","-","-","-","-"
"Jun 2000","25","Rob Thomas & Santana","Smooth","1885.184","23","66","-","15","-","-"
"Jun 2000","26","Carl Thomas","I Wish","1736.859","21","-","-","-","-","-"
"Jun 2000","27","Savage Garden","Crash & Burn","1708.191","24","82","-","-","-","22"
"Jun 2000","28","BBMak","Back Here","1690.043","18","-","-","-","-","-"
"Jun 2000","29","The Goo Goo Dolls","Broadway","1633.915","25","-","-","-","-","-"
"Jun 2000","30","The Backstreet Boys","The One","1626.101","31","8","-","-","-","-"
"Jun 2000","31","Westlife","Swear It Again","1614.661","21","-","-","-","-","-"
"Jun 2000","32","Nelly","(Hot S**t) Country Grammar","1583.940","24","-","-","-","-","-"
"Jun 2000","33","Chad Brock","Yes!","1581.821","27","-","-","-","-","-"
"Jun 2000","34","Nine Days","Absolutely (Story Of A Girl)","1574.662","20","-","-","-","-","-"
"Jun 2000","35","Avant","Separated","1536.266","26","-","-","-","-","-"
"Jun 2000","36","Alice DeeJay","Better Off Alone","1530.862","27","-","-","-","-","-"
"Jun 2000","37","DMX","Party Up (Up In Here)","1496.519","28","-","-","-","-","-"
"Jun 2000","38","Sting & Cheb Mami","Desert Rose","1468.297","45","-","-","14","-","-"
"Jun 2000","39","Jagged Edge","Let's Get Married","1457.083","29","-","-","-","-","-"
"Jun 2000","40","Donell Jones","Where I Wanna Be","1422.095","35","-","-","-","-","-"
"Jun 2000","41","Faith Hill","The Way You Love Me","1379.123","35","-","-","-","-","-"
"Jun 2000","42","Andy Griggs","She s More","1344.474","37","-","-","-","-","-"
"Jun 2000","43","Clay Walker","The Chain Of Love","1333.040","40","-","-","-","-","-"
"Jun 2000","44","Vitamin C","Graduation (Friends Forever)","1326.955","38","-","-","-","-","-"
"Jun 2000","45","Colin Raye","Couldn t Last A Moment","1310.874","43","-","-","-","-","-"
"Jun 2000","46","Next","Wifey","1277.040","36","-","-","-","-","-"
"Jun 2000","47","Lee Ann Womack","I Hope You Dance","1252.688","41","-","-","-","-","-"
"Jun 2000","48","Three Doors Down","Kryptonite","1217.716","51","-","-","-","-","-"
"Jun 2000","49","Clay Davidson","Unconditional","1203.902","49","-","-","-","-","-"
"Jun 2000","50","Destiny's Child","Jumpin' Jumpin'","1201.795","40","-","-","-","-","-"
"Jul 2000","1","Aaliyah","Try Again","3857.672","2","5","-","39","-","12"
"Jul 2000","2","Eminem","The Real Slim Shady","3707.597","4","1","-","12","-","15"
"Jul 2000","3","Enrique Iglesias","Be With You","3437.681","1","-","-","45","-","-"
"Jul 2000","4","Vertical Horizon","Everything You Want","3263.149","1","-","-","-","-","42"
"Jul 2000","5","N Sync","It's Gonna Be Me","3182.413","1","-","-","-","1","11"
"Jul 2000","6","Christina Aguilera","I Turn To You","3001.409","3","19","-","-","-","-"
"Jul 2000","7","Matchbox Twenty","Bent","3001.008","1","-","-","-","1","28"
"Jul 2000","8","Joe Thomas","I Wanna Know","2998.688","4","-","-","-","-","38"
"Jul 2000","9","Pink","There You Go","2817.630","8","18","-","-","-","4"
"Jul 2000","10","Britney Spears","Oops!... I Did It Again","2774.326","14","20","-","10","1","9"
"Jul 2000","11","Toni Braxton","He Wasn't Man Enough","2622.415","10","48","-","14","-","9"
"Jul 2000","12","Creed","Higher","2482.671","7","-","-","-","-","-"
"Jul 2000","13","Sisqo","Thong Song","2397.431","13","37","-","21","-","2"
"Jul 2000","14","Nine Days","Absolutely (Story Of A Girl)","2363.237","6","-","-","-","-","-"
"Jul 2000","15","Faith Hill","Breathe","2332.322","8","-","-","-","-","32"
"Jul 2000","16","Marc Anthony","You Sang To Me","2329.369","9","-","-","-","-","-"
"Jul 2000","17","Santana & The Product G","Maria Maria","2309.313","19","6","-","1","-","-"
