,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
177,"I'm Yours","Jason Mraz",661242,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
178,"Under Pressure - Remastered",Queen,654715,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
179,"Something Just Like This","The Chainsmokers",653918,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
180,FRIENDS,Marshmello,641674,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
181,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",639153,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
182,"Thinking out Loud","Ed Sheeran",637545,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
183,"XO TOUR Llif3","Lil Uzi Vert",634821,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
184,"Wonderwall - Remastered",Oasis,634504,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
185,changes,XXXTENTACION,632228,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
186,8,"Billie Eilish",631277,https://open.spotify.com/track/6X29iaaazwho3ab7GNue5r
187,"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)","DJ Snake",629444,https://open.spotify.com/track/6mCqxnyOhr4tHMbRbQL4Yn
188,"New Rules","Dua Lipa",629344,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O
189,"Best Part (feat. Daniel Caesar)",H.E.R.,626490,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
190,"All of Me","John Legend",625980,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
191,Nonstop,Drake,624307,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
192,Cristina,"Sebastian Yatra",623554,https://open.spotify.com/track/703iVQrfbQsXt7Uzgy1h8k
193,"Leave Me Alone","Flipp Dinero",618121,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
194,"Young Dumb & Broke",Khalid,614971,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
195,Chlorine,"Twenty One Pilots",614835,https://open.spotify.com/track/23OXdR7YuUBVWh5hSnYJau
196,Rise,"Jonas Blue",612493,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
197,Shotgun,"George Ezra",611689,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
198,"Solo (feat. Demi Lovato)","Clean Bandit",610071,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
199,Freaky,"Tory Lanez",608301,https://open.spotify.com/track/0NJp8GyCOWnQh71xKSPfuV
200,"Con Calma - Remix","Daddy Yankee",605734,https://open.spotify.com/track/4au7FRcgZzChASRYu279xH
