"","year","song","artist","speechiness","energy","danceability","acousticness"
"237","2009","Single Ladies (Put A Ring On It)","Beyonce",0.296,0.584,0.426,0.0383
"238","2009","Live Your Life","T.I. & Rihanna",0.255,0.862,0.375,0.071
"239","2009","Womanizer","Britney Spears",0.0622,0.695,0.724,0.073
"240","2009","So What","Pink",0.045,0.886,0.535,0.000304
"241","2009","Poker Face","Lady GaGa",0.0761,0.815,0.846,0.139
"242","2009","Right Round","Flo-Rida & Ke$ha",0.0551,0.672,0.72,0.009
"243","2009","My Life Would Suck Without You","Kelly Clarkson",0.0509,0.882,0.526,0.0014
"244","2009","Boom Boom Pow","The Black Eyed Peas",0.0827,0.851,0.869,0.15
"245","2009","Halo","Beyonce",0.0628,0.72,0.508,0.272
"246","2009","I Gotta Feeling","The Black Eyed Peas",0.0264,0.748,0.741,0.0823
"247","2009","I Know You Want Me (Calle Ocho)","Pitbull",0.145,0.733,0.817,0.0152
"248","2009","When Love Takes Over","David Guetta & Kelly Rowland",0.0253,0.862,0.674,0.0157
"249","2009","LoveGame","Lady GaGa",0.0652,0.649,0.892,0.00587
"250","2009","New Divide","Linkin Park",0.0362,0.808,0.493,0.000235
"251","2009","Sexy Chick (Sexy Bitch)","David Guetta & Akon",0.0356,0.839,0.742,0.0231
"252","2009","Paparazzi","Lady GaGa",0.0535,0.688,0.755,0.0947
"253","2009","Run This Town","Jay-Z, Rihanna & Kanye West",0.0411,0.809,0.437,0.219
"254","2009","She Wolf","Shakira",0.0444,0.69,0.865,0.289
"255","2009","Down","Jay Sean & Lil' Wayne",0.0318,0.557,0.652,0.74
"256","2009","Meet Me Half Way","The Black Eyed Peas",0.0266,0.395,0.635,0.0929
"257","2009","Bad Romance","Lady GaGa",0.0391,0.921,0.697,0.00305
"258","2009","Empire State Of Mind","Jay-Z & Alicia Keys",0.0341,0.368,0.479,0.739
"259","2009","Russian Roulette","Rihanna",0.0447,0.486,0.48,0.046
"260","2009","Tik-Toc","Ke$ha",0.085,0.553,0.616,0.0342
"261","2010","Bad Romance","Lady GaGa",0.0391,0.921,0.697,0.00305
"262","2010","Tik-Toc","Ke$ha",0.085,0.553,0.616,0.0342
"263","2010","Meet Me Half Way","The Black Eyed Peas",0.0266,0.395,0.635,0.0929
"264","2010","Empire State Of Mind","Jay-Z & Alicia Keys",0.0341,0.368,0.479,0.739
"265","2010","Fireflies","Owl City",0.0417,0.649,0.591,0.0294
"266","2010","Rude Boy","Rihanna",0.127,0.75,0.563,0.113
"267","2010","Telephone","Lady GaGa & Beyonce",0.0403,0.832,0.825,0.00587
"268","2010","Hey, Soul Sister","Train",0.0431,0.886,0.673,0.185
"269","2010","OMG","Usher & will.i.am",0.0536,0.576,0.655,0.0295
"270","2010","Break Your Heart","Taio Cruz & Ludacris",0.0487,0.695,0.651,0.23
"271","2010","California Gurls","Katy Perry & Snoop Dogg",0.0569,0.754,0.791,0.00446
"272","2010","Alejandro","Lady GaGa",0.0557,0.789,0.632,0.00043
"273","2010","Waka Waka (This Time For Africa)","Shakira & Freshly Ground",0.143,0.873,0.766,0.00627
"274","2010","Airplanes","BoB & Hayley Williams",0.116,0.867,0.66,0.11
"275","2010","Wavin' Flag","K'naan",0.058,0.768,0.584,0.329
"276","2010","Love The Way You Lie","Rihanna & Eminem",0.227,0.925,0.749,0.241
"277","2010","Dynamite","Taio Cruz",0.0853,0.804,0.754,0.00332
"278","2010","Teenage Dream","Katy Perry",0.0355,0.804,0.719,0.0132
"279","2010","Club Can't Handle Me","Flo-Rida & David Guetta",0.0327,0.869,0.616,0.0283
"280","2010","I Like It","Enrique Iglesias & Pitbull",0.129,0.726,0.816,0.099
"281","2010","Just The Way You Are (Amazing)","Bruno Mars",0.036,0.248,0.475,0.933
"282","2010","DJ Got Us Fallin' In Love","Usher & Pitbull",0.109,0.861,0.663,0.0338
"283","2010","Only Girl (In The World)","Rihanna",0.0382,0.714,0.78,0.119
"284","2010","The Time (Dirty Bit)","The Black Eyed Peas",0.0664,0.813,0.816,0.0662
"285","2010","Raise Your Glass","Pink",0.0897,0.695,0.7,0.00629
"286","2010","Firework","Katy Perry",0.0479,0.826,0.638,0.139
"287","2011","Firework","Katy Perry",0.0479,0.826,0.638,0.139
"288","2011","The Time (Dirty Bit)","The Black Eyed Peas",0.0664,0.813,0.816,0.0662
"289","2011","Grenade","Bruno Mars",0.0593,0.558,0.706,0.146
"290","2011","Only Girl (In The World)","Rihanna",0.0382,0.714,0.78,0.119
"291","2011","What's My Name?","Rihanna & Drake",0.0492,0.833,0.692,0.000136
"292","2011","Born This Way","Lady GaGa",0.161,0.828,0.587,0.00327
"293","2011","S&M","Rihanna",0.0437,0.673,0.764,0.0156
"294","2011","Rolling In The Deep","Adele",0.0294,0.756,0.729,0.131
"295","2011","On The Floor","Jennifer Lopez & Pitbull",0.0458,0.824,0.594,0.0617
"296","2011","E.T.","Katy Perry & Kanye West",0.175,0.869,0.62,0.0181
"297","2011","Just Can't Get Enough","The Black Eyed Peas",0.0347,0.779,0.759,0.407
"298","2011","Party Rock Anthem","LMFAO",0.142,0.727,0.75,0.0189
"299","2011","Give Me Everything","Pitbull, Ne-Yo, Afrojack & Nayer",0.161,0.939,0.671,0.192
"300","2011","The Lazy Song","Bruno Mars",0.0621,0.804,0.738,0.332
"301","2011","The Edge Of Glory","Lady GaGa",0.0401,0.772,0.581,0.000343
"302","2011","Last Friday Night (TGIF)","Katy Perry",0.0573,0.654,0.686,0.000791
"303","2011","Someone Like You","Adele",0.0285,0.33,0.559,0.892
"304","2011","We Found Love","Rihanna & Calvin Harris",0.0383,0.766,0.734,0.025
"305","2011","Without You","David Guetta & Usher",0.0248,0.55,0.536,0.0537
"306","2011","Sexy And I Know It","LMFAO",0.316,0.861,0.707,0.1
"307","2011","Good Feeling","Flo-Rida",0.037,0.548,0.535,0.533
"308","2012","We Found Love","Rihanna & Calvin Harris",0.0383,0.766,0.734,0.025
"309","2012","Sexy And I Know It","LMFAO",0.316,0.861,0.707,0.1
"310","2012","Good Feeling","Flo-Rida",0.037,0.548,0.535,0.533
"311","2012","Someone Like You","Adele",0.0285,0.33,0.559,0.892
"312","2012","Set Fire To The Rain","Adele",0.0253,0.683,0.61,0.00382
"313","2012","Somebody That I Used To Know","Gotye & Kimbra",0.0384,0.517,0.857,0.565
"314","2012","Stronger (What Doesn't Kill You)","Kelly Clarkson",0.0475,0.939,0.562,0.046
"315","2012","Turn Me On","David Guetta & Nicki Minaj",0.0787,0.774,0.681,0.0992
"316","2012","The Wild Ones","Flo-Rida & Sia",0.0437,0.7,0.492,0.413
"317","2012","We Are Young","fun.",0.075,0.638,0.378,0.02
"318","2012","Starships","Nicki Minaj",0.075,0.716,0.747,0.135
"319","2012","Call Me Maybe","Carly Rae Jepsen",0.0435,0.585,0.778,0.0123
"320","2012","Drive By","Train",0.032,0.837,0.765,0.00107
"321","2012","Payphone","Maroon 5 & Wiz Khalifa",0.0394,0.756,0.739,0.0136
"322","2012","Whistle","Flo-Rida",0.15,0.712,0.822,0.00682
"323","2012","Wide Awake","Katy Perry",0.0367,0.683,0.514,0.0749
"324","2012","We Are Never Ever Getting Back Together","Taylor Swift",0.113,0.682,0.622,0.00995
"325","2012","Gangnam Style","Psy",0.284,0.939,0.736,0.0055
"326","2012","One More Night","Maroon 5",0.0339,0.8,0.71,0.0563
